Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Description & Remarks.,Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Corndon Hill,CNN,A,Trig Point,1683,52 33.944N 003 01.518W,,6 Nml WNW of Long Mynd,14,SW,Shrewsbury,33060 29693,CNN,CNN
Carno,CNO,A,Rail Bridge,584,52 33.971N 003 32.546W,,"A470 bridge over railway N of town.  Caution, rugged terrain",30,WSW,Shrewsbury,29555 29760,CNO,CNO
Chinnor,CNR,A,M40 J6/B4009,341,51 40.344N 000 57.665W,,"3 NMl SW of village, 6 NMl NE of Benson airfield.",11,SE,Oxford,47194 19758,CNR,CNR
Cirencester nw,CNW,A,A417 r'bout NW,322,51 44.973N 001 59.902W,,"Centre of A417 between two small roundabouts S of quarry , 3 NW Cirencester.  Gives stand-off for rounding Brize Zone",15,NW,Swindon,40021 20565,CNW,CNW
Conwy Bridge,CNY,A,A547 bridge,30,53 16.910N 003 49.251W,,"Bridge over river Conwy estuary, S of Llandudno",32,W,Chester,27870 37764,CNY,CNY
Corby South,COB,A,A6003/A6014 Rbt,302,52 27.584N 000 44.222W,,"Roundabout at Y shape of roads SSW edge of town, leading to dual carriageway to Kettering",14,NNE,Northampton,48591 28539,COB,COB
Colchester,COC,A,Rail/A120 Bridge,167,51 54.652N 000 57.382E,,NE side of town just S of reservoir.,14,SE,Ipswich,60344 22772,COC,COC
Coldstream,COD,A,River/A697,65,55 39.236N 002 14.492W,,Bridge over river Tweed E edge of town,10,SW,Berwick,38490 64007,COD,COD
Corwen NE,COE,G,GNSS point based on Lat/Long,985,53 01.000N 003 18.500W,,3 NMl NE of Corwen,28,NW,Shrewsbury,31233 34739,COE,COE
Crocketford,COF,A,A715/A712,394,55 02.158N 003 49.738W,,T-junction at Nine Mile Bar,8,WNW,Dumfries,28321 57280,COF,COF
Corby Glen,COG,A,A151/B1176,312,52 48.706N 000 31.123W,,T Junction S side of village,7,SE,Grantham,49994 32483,COG,COG
Coldingham,COH,A,A1107/6358,245,55 53.137N 002 09.466W,,South-Westerly of two T junctions in village. 2NMl SW of St Abbs Head,8,NW,Berwick,39023 66584,COH,COH
Cocking,COK,C,Church Tower,151,50 57.014N 000 44.969W,,2 NMl S of Midhurst just E of A 286,17,SE,Lasham,48794 11750,COK,COK
Comrie,COM,B,B827/River Bridge,62,56 22.418N 003 59.237W,,Bridge over river Earn between Comrie and Dalginross,18,W,Perth,27736 72192,COM,COM
Condover,CON,A,Rail/A49 Bridge,240,52 36.712N 002 46.093W,,2.5 NMl S of Condover village just S of Dorrington.,6,S,Shrewsbury,34808 30184,CON,CON
Corby,COR,C,A427/A6116,315,52 29.368N 000 40.627W,,"E side of Town, 0.5km NE of 2 small lakes.",16,SE,Leicester,48992 28877,COR,COR
Cosford Junction,COS,A#,M54 J3/A41,253,52 39.519N 002 17.978W,,"1.5 NMl N of Airfield, avoid airfield traffic.",17,ESE,Shrewsbury,37983 30681,COS,COS
Colt Crag Reservoir,COT,A,Road Br over water,680,55 05.832N 002 07.087W,,A68 br over west end of reservoir,18,WNW,Newcastle,39256 57809,COT,COT
Coupar Angus,COU,C,A94/A923,131,56 32.721N 003 16.054W,,Near town centre,10,NW,Dundee,32216 73998,COU,COU
Colchester West,COW,C,Road Br over Rail,203,51 52.875N 000 47.029E,,"E side of BR Station Marks Tey at rail T junction, 4 NMl S of Essex and Suffolk GC site at Wormingford",17,SW,Ipswich,59170 22396,COW,COW
Camphill start/finish south,CP1,A#,A623/B6465,787,53 16.631N 001 43.854W,,"T junction 1 NMl south of Camphill, site of Derby & Lancs GC.  Between Foolow and Wardlow villages",22,NNW,Derby,41804 37561,CP1,CP1
Camphill Chimney,CP2,A#,Cement works chimney,600,53 20.322N 001 45.230W,,435 ft high chimney 2 NMl NNW of Camphill Gliding Site,25,NNW,Derby,41649 38245,CP2,CP2
Camphill,CPH,C#,Hangar,1350,53 18.303N 001 43.746W,129.98,SE side of Derby & Lancs GC site at top of ridge.,25,NNW,Derby,41815 37871,CPH,CPH
Clapham Reservoir N,CPN,D,Bridge,655,54 07.424N 002 23.035W,,"Small bridge over Clapham Beck N end of reservoir, on Ingleton ridge. Caution, rugged terrain",15,ENE,Lancaster,37501 46983,CPN,CPN
Chepstow S,CPS,A,M48 Roundabout,114,51 37.234N 002 40.379W,,"M48/A466 J2, W side of Severn road bridge on S side of Chepstow",29,S,Hereford,35351 19152,CPS,CPS
Chippenham W,CPW,A,A4/A350,197,51 26.856N 002 08.978W,,S of 2 roundabouts WSW of town,16,SW,Swindon,38970 17208,CPW,CPW
Cranwell North,CRA,C##,College Tower,220,53 02.218N 000 30.634W,129.98,E side of grass airfield N of military airfield A/F with MATZ and jets and light aircraft 7 days per week.  Site of Cranwell RAFGSA Club,11,S,Lincoln,49997 34989,CRA,CRA
Cranbrook,CRB,D,School West End,190,51 05.949N 000 31.561E,,By A 229 NW side of town,14,N,Hastings,57696 13635,CRB,CRB
Crick,CRC,A,M1 J18/A428,276,52 21.043N 001 09.277W,,1 km NNW of village.  6 N of Daventry.,12,NW,Northampton,45768 27285,CRC,CRC
Cricklade,CRD,C,Church Tower,259,51 38.413N 001 51.448W,,Town centre near B4040/B4553 junction,5,NW,Swindon,40996 19350,CRD,CRD
Crediton Station,CRE,C,BR Station,315,50 46.990N 003 38.787W,,SE side of town.,7,NW,Exeter,28403 09947,CRE,CRE
Crail,CRF,B,Crail Church,108,56 15.757N 002 37.545W,,"Church at East end of village, on North side of Firth of Forth. Nearby Airfield is probably not landable.",30,SE,Dundee,36134 70797,CRF,CRF
Cerrig,CRG,C,A5/B5105,121,53 01.499N 003 33.722W,,Full name Cerrigydrudion. Vill 7 NMl N of Bala. No fields.,35,NW,Shrewsbury,29533 34866,CRG,CRG
Crianlarich,CRI,C,Station,269,56 23.429N 004 37.115W,,"S of village, 7 NMl NE of N end of Loch Lomond",28,E,Oban,23845 72510,CRI,CRI
Crewkerne,CRK,A,Stn/A356,207,50 52.435N 002 46.754W,,"A356 bridge over railway just W of stn, SE side of town",7,SW,Yeovil,34527 10856,CRK,CRK
Crowland A/f,CRL,D#,"A/F E end, by A1073",10,52 42.588N 000 08.400W,129.98,North Corner of Runway Intersection.,8,NNE,Peterborough,52576 31408,CRL,CRL
Crymych Mast,CRM,A,TV transmitter,1066,51 56.662N 004 39.659W,,"1.5 Nml S of village, W of A478",32,WNW,Swansea,21720 23066,CRM,CRM
Crinan,CRN,B,Lighthouse,1,56 05.499N 005 33.311W,,N side of town,20,S,Oban,17894 69446,CRN,CRN
Crowland Bridge,CRO,A,River/B1166,13,52 40.773N 000 11.011W,,Over River Welland 1 NMl W of Town,6,NNE,Peterborough,52290 31064,CRO,CRO
Cromer Pier,CRP,A,Pier entrance,30,52 55.966N 001 18.051E,,"S end of Pier, N side of town",18,N,Norwich,62194 34236,CRP,CRP
Carron,CRR,C,Spey Bridge,328,57 27.263N 003 17.652W,,"E side of Carron village, wide bridge with minor road and old railway line. 3 Nml SW of Charlestown of Aberlour.",15,S,Lossiemouth,32244 84119,CRR,CRR
Crediton West,CRW,A,Rail Fork,361,50 47.318N 003 44.417W,,3 NMl W of village.  506 k O&R from Dunstable.,9,WNW,Exeter,27743 10023,CRW,CRW
Cray Reservoir,CRY,A,W end of Dam Wall,817,51 53.130N 003 37.523W,,"4 NMl SW of Sennybridge, W of A 4067",20,NE,Swansea,28823 22202,CRY,CRY
Chirnside,CSD,A,A6105/B6355,292,55 48.050N 002 13.144W,,W side of village,7,W,Berwick,38637 65642,CSD,CSD
Canterbury South East,CSE,A,A2050 Bridge over A 2T,282,51 15.304N 001 06.791E,,0.5 NMl NW of Bridge Village,2,SE,Canterbury,61733 15526,CSE,CSE
Cosford Airfield,CSF,A##,R/W 24 SW end,271,52 38.250N 002 18.741W,135.875,"Military airfield with ATZ, mainly light aircraft traffic.  Site of Wrekin RAFGSA Club.",17,ESE,Shrewsbury,37896 30446,CSF,CSF
Crask Bridge,CSK,A,A836 river bridge,732,58 11.092N 004 30.700W,,"A836 bridge over river Tirry, just S of Crask Inn.  10 Nml NNW of Lairg.  Note Restricted Area 610.  Caution, rugged terrain",26,NE,Ullapool,25242 92453,CSK,CSK
Coniston,CSN,B,Bridge,164,54 22.148N 003 04.552W,,"A593 bridge over Church Beck in centre of village, west side of Coniston Water",20,NNW,Lancaster,33020 49760,CSN,CSN
Cross Hands,CSS,A,A48/A476,525,51 47.809N 004 05.003W,,"Between Cross Hands and Gorslas, 9 NMl ESE of Camarthen",10,NNW,Swansea,25643 21296,CSS,CSS
Colsterworth,CSW,A,A1/A151,262,52 48.082N 000 36.643W,,"A151 bridge over A1, SW of services on SE side of village",6,S,Grantham,49376 32355,CSW,CSW
Crathie Bridge,CTH,B,B976 Br over R Dee,885,57 02.373N 003 13.067W,,6 NMl W of Ballater,36,W,Aberdeen,32620 79493,CTH,CTH
Catterick,CTK,A,A6136 Br over A1,118,54 23.166N 001 39.285W,,"NW side of racecourse, 1 NMl NW of village",9,SSW,Darlington,42252 49901,CTK,CTK
Clows Top,CTP,B,Crossroads,727,52 20.640N 002 25.248W,,Crossroads of A456 and B4202 in Village.,12,NW,Worcester,37143 27185,CTP,CTP
Clunbury Hill,CU2,D,Circle in horse gallops,886,52 24.907N 002 55.145W,,"Top of ridge SE of Clunbury village, 7 Nml S of Long Mynd",18,S,Shrewsbury,33759 28008,CU2,CU2
Cullompton,CUL,A,M5 J28/A373,522,50 51.652N 003 23.016W,,NE side of town.,10,NE,Exeter,30272 10773,CUL,CUL
Clun,CUN,A,A488/B4368,525,52 25.225N 003 01.819W,,"Bridge over R Clun in centre of town, 8 Nml SW of Long Mynd",20,SSW,Shrewsbury,33003 28077,CUN,CUN
Cupar,CUP,C,A91/A92,233,56 19.159N 003 00.723W,,"Near town centre, 6 NMl SW of Leuchars military airfield",9,S,Dundee,33750 71456,CUP,CUP
Currock Hill,CUR,D#,"Gliding Site, Centre",800,54 56.065N 001 50.456W,130.13,"Northumbria GC site, under CTA base 1500ft",10,WSW,Newcastle,41029 55998,CUR,CUR
Craven Arms,CVN,B,B4368/Rail Br,279,52 26.375N 002 50.229W,,"S side of village, 5 NMl SSE of Long Mynd site.",23,N,Hereford,34319 28273,CVN,CVN
Chipping Warden,CWA,C,R/Ws 24/36,256,52 08.722N 001 16.569W,,Most N intersection of old r/ws at disused airfield.,4,NNE,Banbury,44963 24992,CWA,CWA
Crowcombe Court,CWC,C#,Country House,482,51 07.503N 003 13.828W,,"N side of Crowcombe village, note Cardiff CTA base 4500ft to West, D119 to North.",8,NW,Taunton,31399 13692,CWC,CWC
Crewe East,CWE,A,M6 J16,295,53 04.104N 002 20.020W,,Between Crewe and Kidsgrove,27,NE,Shrewsbury,37774 35240,CWE,CWE
Corwen,CWN,A,A5/River Dee bridge,85,52 58.776N 003 23.257W,,8 NMl ENE of Bala,28,NW,Shrewsbury,30693 34337,CWN,CWN
Cwmbran SW,CWS,A,Reservoir N side of dam wall,590,51 37.142N 003 04.424W,,"Pant-y-Eos reservoir 3 NMl SW Cwmbran, ridge to SW",27,SSW,Hereford,32576 19168,CWS,CWS
Chatsworth,CWT,A,Bridge,394,53 13.682N 001 36.980W,,Bridge over river Derwent 300m W of Chatsworth House. 6 NMl W of Chesterfield,19,N,Derby,42571 37018,CWT,CWT
Carsington Water Visitors Centre,CWV,A#,Visitors Centre.,673,53 03.661N 001 38.466W,,Building Complex on Western Shore of Carsington Water. 2km N of CTA base 4000ft,10,NNW,Derby,42415 35159,CWV,CWV
Conwy W,CWW,A,Penmaen-bach Point,15,53 17.354N 003 52.817W,,"Most N point on A55 at bottom of ridge, 1.5NMl W of Conwy",35,WNW,Chester,27476 37857,CWW,CWW
Conwy S,CWY,A,Bridge over R Conwy,20,53 13.750N 003 49.197W,,"3 NMl S of Conwy town at Tyn-y-groes, bridge joins A 470 to B5106",34,W,Chester,27861 37178,CWY,CWY
Dallachy,DAL,A,Intersection 29/22,33,57 39.437N 003 03.958W,,"Disused airfield, ex Highland GC site",10,ESE,Lossiemouth,33649 86354,DAL,DAL
Dalmally,DAM,C,Station,141,56 24.050N 004 59.011W,,"Village centre, S of A85.  Between Oban and Crianlarich, at NE end of Loch Awe",16,E,Oban,21598 72717,DAM,DAM
Danby,DAN,C,Road bridge over rail S side of village,475,54 27.953N 000 54.570W,,North side of N York moors 11 NMl W of Whitby,22,E,Darlington,47078 50838,DAN,DAN
Darlington,DAR,A,A67 Br over A1(M),256,54 31.405N 001 37.185W,,W of town just N of A1 bridge over river Tees,1,W,Darlington,42471 51430,DAR,DAR
Darwell,DAW,C,Reservoir SW end,187,50 57.619N 000 25.349E,,Opposite end to dam wall. 3 NMl NNW of Battle,8,NW,Hastings,57022 12067,DAW,DAW
Dunblane,DBN,C,Station,105,56 11.164N 003 57.958W,,Near town centre,6,NW,Stirling,27808 70101,DBN,DBN
Devil's Bridge,DBR,A,Bridge,476,52 22.632N 003 50.979W,,"A4120 bridge over river Rheidol at Mynach Falls, 8 NMl E of Aberystwyth",42,N,Swansea,27419 27707,DBR,DBR
Diddlebury,DBY,C,Church Tower,397,52 27.852N 002 43.506W,,Church Tower at East end of village. SE OF B4368 between Craven Arms and Shipton TPs.,14,S,Shrewsbury,35083 28539,DBY,DBY
Didcot Rail Bridge,DCT,A,A4130/Railway Bridge,205,51 36.918N 001 15.467W,,"A4130 Bridge over Railway. SE of Didcot Power Station Site, N of Town.",8,S,Oxford,45149 19098,DCT,DCT
Devil's Dyke,DDK,D#,Hotel NE Corner,690,50 53.130N 000 12.718W,,NE corner of hotel on top of S Downs ridge 1 km NE of 712 ft spot height.  Under LTMA 3500ft.  Hang glider launch site,4,NW,Brighton,52587 11108,DDK,DDK
Deal,DEA,B,A258/Rail,30,51 13.344N 001 23.931E,,Bridge over railway just W of pier.,11,ESE,Canterbury,63743 15252,DEA,DEA
Deddington,DED,A#,A4260/B4031,417,51 58.926N 001 19.383W,,"Village centre, just W of church with Tower. Look out and avoid Oxford Kidlington traffic on extended centreline to R/W 19.",4,S,Banbury,44659 23173,DED,DED
Denbigh,DEN,B,A525/A543 R'bt E,105,53 11.013N 003 23.831W,,"R'bout on E side of town, just NW of river Ystrad bridge",18,W,Chester,30673 36607,DEN,DEN
Depden Water Tower,DEP,D,Water Tower,404,52 11.272N 000 35.122E,,W side of T junction of minor roads W of Depden village.  Chedburgh disused airfield to E and 300 ft mast at Ousden to W,15,E,Cambridge,57683 25755,DEP,DEP
Derwent,DER,A,Dam NE Side,82,54 51.622N 001 57.344W,,"NE end of dam wall in SE corner of lake, 4 NMl W of Consett",15,WSW,Newcastle,40294 55173,DER,DER
Detling,DET,C#,Church Spire,400,51 17.647N 000 34.113E,,W side of village just E of A249. Under LTMA 3500ft,3,NE,Maidstone,57918 15813,DET,DET
Devizes,DEV,C,A361 Br over Canal,387,51 21.252N 001 59.076W,,"NE side of town, over Kennet & Avon canal.",13,E,Bath,40117 16168,DEV,DEV
Duffield,DFF,C,B5023/River Br,194,53 00.464N 001 32.081W,,Nr rly 2 NMl NW of town.  CTA base 2500 2 NML to S,6,N,Derby,43132 34570,DFF,DFF
Dalton-in-Furness,DFU,A#,A590/A595,197,54 09.800N 003 11.335W,,"Roundabout N side of town, between Ulverston and Barrow-in-Furness.  Barrow/Walney ATZ 1 NMl to SW",14,NW,Lancaster,32247 47482,DFU,DFU
Dingwall,DIN,A,Rail/River Bridge,25,57 35.889N 004 25.271W,,Bridge over river Peffery E side of town near shore of Cromarty Firth,10,NW,Inverness,25540 85904,DIN,DIN
Diss,DIS,A,Rail Bridge/A1066,171,52 22.221N 001 07.241E,,"E of town, 12 NMl ENE of Honington airfield.",16,SSW,Norwich,61254 27928,DIS,DIS
Ditchlingbeacon,DIT,D,Car park entrance,770,50 54.049N 000 06.317W,,W side of minor road on top of S Downs 200 m SE of 813 ft Spot Height.  Also Hang Glider launch point,5,NNE,Brighton,53333 11297,DIT,DIT
Dunkeld,DKD,A,A923/River,197,56 33.823N 003 35.130W,,"Bridge over river Tay, S of town",11,NNW,Perth,30266 74243,DKD,DKD
Dunkery Beacon,DKY,A,Trig Point,1704,51 09.767N 003 35.201W,,Top of hill 3 Nml S of Porlock,28,N,Exeter,28915 14159,DKY,DKY
Dale Bridge,DLB,B,B4327 bridge,164,51 43.847N 005 10.221W,,"River bridge, 1.5 NMl N of Dale Harbour, 5 NMl W of Milford Haven",42,W,Swansea,18117 20832,DLB,DLB
Dallas,DLS,B,B9010 T Junction,325,57 33.562N 003 27.714W,,"T junct at road N of village to B9010, 6 NMl SSE of Kinloss A/F",11,SW,Lossiemouth,31263 85308,DLS,DLS
Dalston,DLT,A#!,Bridge,131,54 50.873N 002 58.848W,,"B5299 bridge over rail, NE side of Dalston village",4,SW,Carlisle,33712 55078,DLT,DLT
Duntulm N,DMN,C,Spot Height 384ft,384,57 42.072N 006 20.674W,,"N end of Isle of Skye, spot height on 500k air map N of Duntulm village at Rubha Hunish Lookout Bothy",40,WSW,Ullapool,14126 87623,DMN,DMN
Dunbar SE,DNB,A,A1087 Rail Bridge,90,55 58.941N 002 29.048W,,Bridge over rail SE side of town just N of A1078/A1 junction,29,W,Edinburgh,36989 67670,DNB,DNB
Durham Northeast,DNE,A,A1(M)/A690,98,54 47.632N 001 31.733W,,Roundabout NE side of city,11,S,Newcastle,43039 54443,DNE,DNE
Dunning,DNG,C,Church tower,144,56 18.770N 003 35.214W,,Near town centre and B9141/B8062 junction,7,SW,Perth,30193 71451,DNG,DNG
Dunoon,DNN,D,Pier sea end,49,55 56.811N 004 55.294W,,SE side of town,5,W,Greenock,21766 67650,DNN,DNN
Duntulm,DNT,B,A855 bend,20,57 40.918N 006 20.702W,,"180 degree bend on coast in Duntulm village at north end of Isle of Skye.  Caution, rugged terrain",38,WSW,Ullapool,14109 87410,DNT,DNT
Doncaster Northwest,DNW,A,A638 bridge over A1,69,53 34.680N 001 12.749W,,"Where A1(M) becomes A1, just S of railway, 3 NMl SW of Askern village",5,NW,Doncaster,45224 40933,DNW,DNW
Docking,DOC,C,B1454/B1153,210,52 54.066N 000 37.195E,,"T Junct W side of village, 12 NMl NE of King's Lynn",28,NW,Norwich,57631 33695,DOC,DOC
Dolgellau,DOG,A,Bridge,66,52 44.660N 003 52.212W,,"A470 bridge over river Wnion, E side of town.  Caution, rugged terrain",41,W,Shrewsbury,27385 31794,DOG,DOG
Dollar,DOL,C,A91/B913,128,56 09.727N 003 40.599W,,T junction in town centre,16,SW,Perth,29597 69787,DOL,DOL
Doncaster,DON,A,M18 J2/A,60,53 28.759N 001 08.882W,,Motorways cross at right angles,3,SSW,Doncaster,45664 39840,DON,DON
Dorchester,DOR,A,A35 R'bout NE,279,50 43.235N 002 24.799W,,1 NMl NE of town centre,16,SSE,Yeovil,37092 09130,DOR,DOR
Doune,DOU,A,A84/River Bridge,46,56 11.206N 004 03.684W,,"Bridge over river Teith, SW of town",6,NW,Stirling,27216 70126,DOU,DOU
Dover Marina,DOV,B,A20 roundabout,10,51 07.199N 001 18.554E,,Just inland of marina SW side of harbour.  Note Swingate High Intensity Radio Transmission Area (HIRTA) to N,13,SE,Canterbury,63168 14084,DOV,DOV
Downham Market,DOW,C,Station,72,52 36.249N 000 21.906E,,W side of town 300 m NE of Great Ouse river bridge.,18,E,Peterborough,56026 30333,DOW,DOW
Droma Bridge,DRB,A,A832 br over R Droma,575,57 45.162N 005 00.737W,,At T junction with A835,10,SE,Ullapool,22085 87765,DRB,DRB
Driffield,DRI,C,A166/A163 Rbt,98,54 00.534N 000 27.208W,,W edge of village.  A166 goes W to Fridaythorpe.,21,E,York,50145 45809,DRI,DRI
Darlton,DRL,D#,Hangar,155,53 14.973N 000 51.218W,118.685,"SW of A57/A6075 junction, site of Darlton GC",11,W,Lincoln,47659 37312,DRL,DRL
Droitwich,DRO,A,M5 J5/A38,151,52 17.272N 002 07.210W,,1.5 NMl NE of town.  Tall Aerials and wires NE of TP.,6,NNE,Worcester,39190 26553,DRO,DRO
Denbigh Ridge S,DRS,D#,Spot Height,1352,53 03.883N 003 14.447W,,"Top of Moel yr Accre hill at S end of Denbigh ridge.  4 Nml SE of Ruthin, at W end of wood W of Accre Hall. Hawarden RMZ to East.",15,SW,Chester,31695 35266,DRS,DRS
Drumshade,DRU,D,Farmhouse,230,56 38.547N 003 01.613W,,"2 NMl SSW of Kirriemuir, ex site of Angus GC",9,N,Dundee,33712 75054,DRU,DRU
Daventry SE,DSE,A,A45/A425,509,52 14.823N 001 09.057W,,Roundabout SE side of town,10,W,Northampton,45807 26133,DSE,DSE
Dursley SW,DSW,D,Tyndale monument on Nibley Knoll,540,51 39.521N 002 22.376W,,5NMl SW of Bristol Club site at Nympsfield. Point for ridge soaring 1.5NMl SW of Dursley towards Wotton-under-Edge,16,N,Bath,37430 19561,DSW,DSW
Donington,DTN,A,A52/Rail Bridge,102,52 54.096N 000 13.060W,,W of village,17,E,Grantham,51998 33528,DTN,DTN
Dulnain Bridge,DUB,A,River Dulnain Bridge,705,57 18.213N 003 40.031W,,West of two bridges where A938 leaves A95(T) at Dulnain Bridge village.  2 Nml SW of Grantown on Spey,21,SE,Inverness,29965 82489,DUB,DUB
Duncton,DUC,D,Bridge over Ponds,141,50 56.875N 000 36.960W,,"500m E of St Michael's school, 5.5 NMl WNW of Parham",21,SE,Lasham,49732 11741,DUC,DUC
Dufftown,DUF,A,A941/River Br,591,57 26.643N 003 06.954W,,SE of town where Dullan Water joins River Fiddich,17,SSE,Lossiemouth,33312 83985,DUF,DUF
Dulverton,DUL,C,B3222/River Br,197,51 02.359N 003 33.177W,,River Barle Bridge W side of town,19,N,Exeter,29122 12781,DUL,DUL
Dumfries,DUM,B,Rail/A75,52,55 05.158N 003 36.638W,,N side of town,1,N,Dumfries,29729 57802,DUM,DUM
Dunstable Airfield,DUN,D##,"NW Boundary of field, just East of B489 Tring Road",490,51 52.304N 000 33.074W,119.905,"Used for Finishes and some Starts. Near Club East Run Launch Point. Point is inside Luton CTR, do not use as a TP due to Luton Airspace.",0.5,NW,Dunstable Gliding Site,49984 22023,DUN,DUN
Durham,DUR,B,Cathedral Tower,415,54 46.408N 001 34.592W,,"Top of 220 ft tower, in bend of river Wear, city centre",14,N,Darlington,42734 54214,DUR,DUR
Duns,DUS,C,A6112/A6105,56,55 46.737N 002 20.717W,,"T junction N side of town, SE of castle",11,W,Berwick,37844 65401,DUS,DUS
Dufton,DUT,B,Church,607,54 37.176N 002 28.811W,,Centre of village 3 NMl N of Appleby.  Bottom of Crossfell ridge under Dufton Pike (1998ft),22,SE,Carlisle,36909 52505,DUT,DUT
Dursley NW,DUY,C,B4060/4066 T junction,310,51 41.516N 002 22.766W,,1 km E of M5 and 4NMl WSW of Bristol Club site at Nympsfield. At S end of Cotswold Edge ridge run in NW winds.  Just S of Severn Wildfowl Reserve,19,N,Bath,37387 19931,DUY,DUY
Daventry N,DVN,A,Roundabout,295,52 16.893N 001 10.086W,,A361 N of small Drayton reservoir and S of Grand Union Canal tunnel,11,W,Northampton,45685 26515,DVN,DVN
Dalwhinnie,DWI,A,S end of dam wall,971,56 55.655N 004 14.922W,,"NE end of Loch Ericht SE side of town, 28 NMl E of Fort William",33,S,Inverness,26324 78406,DWI,DWI
Danbury N,DYN,D#!,River Bridge,35,51 44.616N 000 37.044E,,"Bridge over R Chelmer 2 NMl NNE of Danbury at Ulting village, two gravel pits just to N.  Avoid CTA 2500 to S",27,SW,Ipswich,58080 20823,DYN,DYN
Dyserth,DYS,C,House,377,53 17.723N 003 24.647W,,"At bottom of Denbigh ridge 300m SW of quarry, 3NML S of Prestatyn",19,WNW,Chester,30607 37853,DYS,DYS
Eaglescott,EAG,D##,Airfield Centre,655,50 55.639N 003 59.609W,123.01,"Airfield with ATZ and light aircraft traffic, N Devon GC site",21,NW,Exeter,26000 11610,EAG,EAG
Earith,EAR,C,A1123/River Br,46,52 21.227N 000 02.265E,,W of two river bridges on E side of village.,9,NNW,Cambridge,53888 27481,EAR,EAR
Easterton,EAS,D#,Gliding Site Hangar,361,57 35.226N 003 18.497W,130.105,"Highland GC site, 4 NMl S of Elgin, 7.5 NMl S of Lossiemouth A/F",8,S,Lossiemouth,32188 85598,EAS,EAS
Eastgate,EAT,B,Bridge over Rookhope Burn,768,54 44.639N 002 04.509W,,"Village centre.  The burn is at right angles to R Wear, just E of large chimney",21,SW,Newcastle,39526 53878,EAT,EAT
Eastwell,EAW,D,Crossroads,161,52 50.727N 000 51.285W,,"0.4 Nml SW of village 6NMl NNE of Melton Mobwray, on road from Waltham to Harby.  For 300 k from Gransden",16,NE,Leicester,47723 32816,EAW,EAW
Eckford N,ECN,A,A698/B6401,200,55 32.294N 002 27.840W,,"N side of village, 4 NMl S of Kelso",20,SW,Berwick,37081 62727,ECN,ECN
Edgehill,EDG,A#,Centre of airfield,642,52 05.097N 001 28.418W,129.98,Site of Edgehill GC,5,WNW,Banbury,43616 24309,EDG,EDG
Edgehill West,EDW,D,Church,262,52 05.900N 001 33.928W,,Church in middle of Whatcote village 6.5k West of Edgehill. Used as Checkpoint in Edgehill Regionals.,9,WNW,Banbury,42986 24453,EDW,EDW
Edzell,EDZ,B,R/Ws 24/33,72,56 48.739N 002 36.291W,,"Disused airfield, half way between Aberdeen and Dundee",24,NE,Dundee,36317 76914,EDZ,EDZ
Eggesford N,EGG,B#,A377 Bridge,180,50 54.449N 003 53.663W,,"Over river Little Dart, 2NMl N of Eggesford airfield.  Caution, light aircraft traffic",18,NE,Exeter,26691 11371,EGG,EGG
Elkstone S,ELK,D,A417/Elkstone road,850,51 47.740N 002 03.016W,,7 NMl NW of Cirencester where minor road from Elkstone to Winstone crosses A417 (Roman road Ermin Way),6,S,Cheltenham,39663 21078,ELK,ELK
Ellesmere,ELL,C,A528/A495,240,52 54.540N 002 53.643W,,T Juntion town centre W side of the Mere,13,NNW,Shrewsbury,33997 33499,ELL,ELL
Elmswell W,ELM,A,A14/A1088,197,52 13.908N 000 53.491E,,"Bridge over A14 1NMl W of Elmswell village, 7 NMl E of Bury St Edmunds.  Note Great Ashfield airfield to NE",15,NW,Ipswich,59755 26323,ELM,ELM
East Linton,ELT,B,Road/River Bridge,115,55 58.644N 002 40.009W,,A1/River Tyne Bridge  SSW of Town.,18,E,Edinburgh,35849 67625,ELT,ELT
Elvanfoot,ELV,B,A702 Bridge,906,55 26.296N 003 39.634W,,Over Elvan Water 4 NMl SSE of Abington,21,N,Dumfries,29504 61730,ELV,ELV
Ely,ELY,B!#,Cathedral Tower,79,52 23.888N 000 15.837E,,"Centre of town. In line with Mildenhall Extended Centreline. Recommend advising Mildenhall of your presence by either Radio or by activating Transponder (if fitted). Alternatives at LITtleport, EARith and Waterbeach N (WTB).",12,NNE,Cambridge,55413 28020,ELY,ELY
Enstone,ENS,A#,Control Tower,550,51 55.755N 001 25.731W,129.88,S of midpoint of main R/W with light aircraft activity. Site of Oxfordshire Sportflying (BGA member).,12,NW,Oxford,43937 22579,ENS,ENS
Eastbourne NW,ENW,C,A2270 T Junction,246,50 48.253N 000 14.968E,,"Bottom of east end of South Downs ridge at Willingdon, NW side of Eastbourne",12,WSW,Hastings,55860 10293,ENW,ENW
Etchingham,ETC,B#,A265/Rail,190,51 00.609N 000 26.600E,,"Level crossing E side of village, near R Rother.  TMA 3500ft",9,NNW,Hastings,57150 12626,ETC,ETC
Etal,ETL,B,B6354 Crossroads,138,55 38.888N 002 06.968W,,In Etal village E of bend in R Till.  3.5 Nml NNW of Millfield gliding site,8,SSW,Berwick,39279 63941,ETL,ETL
